workstation,analysis_id,analysis_date,synchronization_date,sample_code,classified_seeds,variety,percent,result_id
Beulah,200,2025-02-26T11:39:56Z,2025-02-26T00:41:11Z,GTAMix1,303,Bass,84,1
Beulah,200,2025-02-26T11:39:56Z,2025-02-26T00:41:11Z,GTAMix1,303,Maximus CL,14,2
Beulah,208,2025-02-26T14:07:10Z,2025-02-26T03:08:12Z,GTAMix10,283,Maximus CL,65,1
Beulah,208,2025-02-26T14:07:10Z,2025-02-26T03:08:12Z,GTAMix10,283,Bass,35,2
Beulah,209,2025-02-26T14:15:51Z,2025-02-26T03:17:05Z,GTAMix11,312,La Trobe,50,1
Beulah,209,2025-02-26T14:15:51Z,2025-02-26T03:17:05Z,GTAMix11,312,Maximus CL,50,2
Beulah,210,2025-02-26T14:29:31Z,2025-02-26T03:30:41Z,GTAMix12,273,Planet,54,1
Beulah,210,2025-02-26T14:29:31Z,2025-02-26T03:30:41Z,GTAMix12,273,Spartacus CL,46,2
Beulah,223,2025-02-27T09:45:00Z,2025-02-26T22:46:00Z,GTAMix2,343,Planet,84,1
Beulah,223,2025-02-27T09:45:00Z,2025-02-26T22:46:00Z,GTAMix2,343,Bass,16,2
Beulah,201,2025-02-26T11:50:07Z,2025-02-26T00:51:07Z,GTAMix3,236,Spartacus CL,77,1
Beulah,201,2025-02-26T11:50:07Z,2025-02-26T00:51:07Z,GTAMix3,236,Bass,23,2
Beulah,202,2025-02-26T12:12:31Z,2025-02-26T01:13:36Z,GTAMix4,323,La Trobe,86,1
Beulah,202,2025-02-26T12:12:31Z,2025-02-26T01:13:36Z,GTAMix4,323,Maximus CL,13,2
Beulah,203,2025-02-26T12:35:19Z,2025-02-26T01:36:38Z,GTAMix5,311,La Trobe,77,1
Beulah,203,2025-02-26T12:35:19Z,2025-02-26T01:36:38Z,GTAMix5,311,Planet,23,2
Beulah,204,2025-02-26T12:39:54Z,2025-02-26T01:40:50Z,GTAMix6,246,Maximus CL,68,1
Beulah,204,2025-02-26T12:39:54Z,2025-02-26T01:40:50Z,GTAMix6,246,Planet,32,2
Beulah,205,2025-02-26T13:37:18Z,2025-02-26T02:38:22Z,GTAMix7,273,Spartacus CL,63,1
Beulah,205,2025-02-26T13:37:18Z,2025-02-26T02:38:22Z,GTAMix7,273,Planet,37,2
Beulah,207,2025-02-26T14:00:08Z,2025-02-26T03:01:24Z,GTAMix8,308,Planet,77,1
Beulah,207,2025-02-26T14:00:08Z,2025-02-26T03:01:24Z,GTAMix8,308,Maximus CL,23,2
Beulah,206,2025-02-26T13:48:10Z,2025-02-26T02:49:21Z,GTAMix9,302,Bass,60,1
Beulah,206,2025-02-26T13:48:10Z,2025-02-26T02:49:21Z,GTAMix9,302,La Trobe,39,2
Beulah,211,2025-02-26T14:32:57Z,2025-02-26T03:33:50Z,GTAPure1,285,Bass,100,1
Beulah,220,2025-02-26T15:42:26Z,2025-02-26T04:43:14Z,GTAPure10,263,Maximus CL,100,1
Beulah,219,2025-02-26T15:39:23Z,2025-02-26T04:40:36Z,GTAPure11,252,Commodus CL,99,1
Beulah,219,2025-02-26T15:39:23Z,2025-02-26T04:40:36Z,GTAPure11,252,Bass,1,2
Beulah,221,2025-02-26T16:05:28Z,2025-02-26T05:06:19Z,GTAPure12,241,Spartacus CL,100,1
Beulah,212,2025-02-26T14:39:50Z,2025-02-26T03:40:37Z,GTAPure2,324,La Trobe,100,1
Beulah,214,2025-02-26T14:59:37Z,2025-02-26T04:00:50Z,GTAPure3,230,Maximus CL,99,1
Beulah,214,2025-02-26T14:59:37Z,2025-02-26T04:00:50Z,GTAPure3,230,La Trobe,1,2
Beulah,213,2025-02-26T14:46:47Z,2025-02-26T03:47:44Z,GTAPure4,237,Commodus CL,100,1
Beulah,215,2025-02-26T15:04:39Z,2025-02-26T04:05:33Z,GTAPure5,289,Spartacus CL,100,1
Beulah,216,2025-02-26T15:16:29Z,2025-02-26T04:17:34Z,GTAPure6,335,Westminster,74,1
Beulah,216,2025-02-26T15:16:29Z,2025-02-26T04:17:34Z,GTAPure6,335,Planet,25,2
Beulah,217,2025-02-26T15:22:10Z,2025-02-26T04:23:20Z,GTAPure7,286,Planet,100,1
Beulah,218,2025-02-26T15:30:39Z,2025-02-26T04:31:42Z,GTAPure8,294,Bass,100,1
Beulah,222,2025-02-26T16:13:45Z,2025-02-26T05:14:42Z,GTAPure9,311,La Trobe,100,1
Deniliquin,639,2025-02-26T11:21:25Z,2025-02-26T00:22:32Z,GTAMix1,340,Bass,86,1
Deniliquin,639,2025-02-26T11:21:25Z,2025-02-26T00:22:32Z,GTAMix1,340,Maximus CL,13,2
Deniliquin,648,2025-02-26T13:53:07Z,2025-02-26T02:54:01Z,GTAMix10,309,Maximus CL,62,1
Deniliquin,648,2025-02-26T13:53:07Z,2025-02-26T02:54:01Z,GTAMix10,309,Bass,38,2
Deniliquin,649,2025-02-26T14:03:30Z,2025-02-26T03:04:28Z,GTAMix11,314,Maximus CL,53,1
Deniliquin,649,2025-02-26T14:03:30Z,2025-02-26T03:04:28Z,GTAMix11,314,La Trobe,47,2
Deniliquin,650,2025-02-26T14:15:37Z,2025-02-26T03:16:30Z,GTAMix12,299,Planet,52,1
Deniliquin,650,2025-02-26T14:15:37Z,2025-02-26T03:16:30Z,GTAMix12,299,Spartacus CL,48,2
Deniliquin,640,2025-02-26T11:32:05Z,2025-02-26T00:32:58Z,GTAMix2,344,Planet,86,1
Deniliquin,640,2025-02-26T11:32:05Z,2025-02-26T00:32:58Z,GTAMix2,344,Bass,14,2
Deniliquin,642,2025-02-26T12:09:15Z,2025-02-26T01:10:03Z,GTAMix3,273,Spartacus CL,77,1
Deniliquin,642,2025-02-26T12:09:15Z,2025-02-26T01:10:03Z,GTAMix3,273,Bass,23,2
Deniliquin,641,2025-02-26T12:00:43Z,2025-02-26T01:01:41Z,GTAMix4,352,La Trobe,84,1
Deniliquin,641,2025-02-26T12:00:43Z,2025-02-26T01:01:41Z,GTAMix4,352,Maximus CL,16,2
Deniliquin,643,2025-02-26T12:13:48Z,2025-02-26T01:14:46Z,GTAMix5,324,La Trobe,74,1
Deniliquin,643,2025-02-26T12:13:48Z,2025-02-26T01:14:46Z,GTAMix5,324,Planet,26,2
Deniliquin,644,2025-02-26T12:25:11Z,2025-02-26T01:26:15Z,GTAMix6,268,Maximus CL,69,1
Deniliquin,644,2025-02-26T12:25:11Z,2025-02-26T01:26:15Z,GTAMix6,268,Planet,30,2
Deniliquin,645,2025-02-26T12:34:34Z,2025-02-26T01:35:39Z,GTAMix7,307,Spartacus CL,67,1
Deniliquin,645,2025-02-26T12:34:34Z,2025-02-26T01:35:39Z,GTAMix7,307,Planet,32,2
Deniliquin,647,2025-02-26T13:43:12Z,2025-02-26T02:44:04Z,GTAMix8,319,Planet,74,1
